video_id,title,description,conspirative
pI46pA4uFEM,Orașul de 15 minute și reducerea poluării.,#shorts #vreausastiu #catalinoprisan  #investitiifinanciare  #experimentosocial #educatiefinanciară  #bani  #investitii  #finante  #antreprenoriat #profitpoint  #2023  #educatie,False
UIQH0fRkON8,New 15 Minute City: Farmers Losing Their Farms To Billionaires,"#15minutecity #solanocounty #california #travisairforcebase #beaware
#awareness #currentevents #currentnews #prepare #prepper #shtf
#survival #currentaffairs #prepping
Note for YouTube's review team, Our goal is to educate the public,
inform our audience, and raise awareness.
DISCLAIMER: No copyright infringement intended. All the materials in
these videos are used for entertainment purposes only, and fall under
the guidelines of fair use.
HELP MAUI AND DONATE
mauilfg.org
Lanai Cat Sanctuary | Saving Cats, Protecting Birds | Hawaii
http://www.epicministry.net/maui-relief.html
LET'S HAVE COFFEE AND A SNICK SNACK TOGETHER
https://www.buymeacoffee.com/butterfly0n
Get your preps organized and FEAR LESS with the Ultimate Prep System
(online and offline versions available) https://prepper-nerd.com/abg
RECENTLY PURCHASED PREPS
150 Pack 12 oz Paper Bowls https://amzn.to/45MeCbu
Plastic White 400 Forks And 400 Spoons https://amzn.to/45pchUh
Colgate Toothpaste Pack of 6 https://amzn.to/3qQl2HV
Security Camera Outdoor https://amzn.to/3soZUZH
OdoBan Floor Cleaner Concentrate, 2-Pack, 1 Gallon Each https://amzn.to/3YSHRHl
Dove Antiperspirant Spray Pack of 10 https://amzn.to/3PdRjC2
Kirkland Signature Moist Flushable Wipes, 632 Wipes https://amzn.to/3ZwhGpb
amazon Basics 2-Ply Toilet Paper https://amzn.to/3J6Ce2i
Amazon Basics 2-Ply Paper Towels  https://amzn.to/3SDciON
Bounce Pet Hair and Lint Guard Mega Dryer Sheets https://amzn.to/3J5h9VJ
Downy Eco-Box Ultra Concentrated Laundry Fabric Softener Liquid
https://amzn.to/3SIPEEU
Tide Laundry Detergent Liquid Soap Eco-Box
https://amzn.to/3YbKm5M
Dove Scrub For Silky Smooth Skin Brown Sugar & Coconut Butter
https://amzn.to/3SHKGIn
Vacuum Sealer Bags https://amzn.to/3Y9ikrv
Ginger Lily Farms Botanicals Moisturizing Conditioner https://amzn.to/3ZP2S5l
Ginger Lily Farms Botanicals Nourishing Body Wash https://amzn.to/3mj2HAH
Ginger Lily Farms Botanicals Moisturizing Shampoo https://amzn.to/3y4NSEq
Superior Vacuum Sealer Machine, Food Sealer
https://amzn.to/3Q1G7Hi
Presto 06300 Dehydro Electric Food Dehydrator
https://amzn.to/3hUjVCH
Food Kitchen Scale with Bowl
https://amzn.to/3vozXaN
Airtight Food Storage Containers Set
https://amzn.to/3C8Fmqx
Solar Power Bank
https://amzn.to/3WKpqSU
Cartman 123 Piece Tool Set https://amzn.to/3raRUaQ
Augason Farms Honey Powder https://amzn.to/3RcEg1y
Nesco Food Dehydrator https://amzn.to/3fqf76n
Augason Farms Dehydrated Diced Red & Green Bell Peppers
https://amzn.to/3UJvcnO 7 Mini Herb Garden with Pump System
https://amzn.to/3Rric3u
12 Pods Hydroponics Growing System https://amzn.to/3rdl8pB
Portable Solar Generator Lighting Kit https://amzn.to/3SyG1XQ
Car Power Inverter https://amzn.to/3xT03EH
Mini Chainsaw https://amzn.to/3Sn0384
Portable LED Camping Lantern with Ceiling Fan https://amzn.to/3xSZL0z
Portable Air Conditioner https://amzn.to/3UVftSO
Hoosier Hill Farm Sour Cream Powder https://amzn.to/3LO6MW4
Hoosier Hill Farm Cream Cheese powder https://amzn.to/3ft3R92
MasterChef Bread Maker https://amzn.to/3dOxEsw
Hydroponics Growing System 12 Pods https://amzn.to/3DU3BdE
Augason Farms Gluten-Free Black Bean Burger https://amzn.to/3ChlzFQ
Dehydrated Chopped Onion https://amzn.to/3UVgTwC
AMAZON STORE LINK
https://www.amazon.com/ideas/amzn1.account.AG5O4QPCB7KU2F26MXXTM3WRBCJQ/5B659YX5SXLH?type=explore&ref=idea_cp_vl_ov_d
TRISH taassociates1020@yahoo.com
https://youtube.com/channel/UCCCEcH-2HZdxH4BLlEHjUCg
MY CONTACT INFO PO BOX 6027 SPRING HILL, FL 34611
CASH APP $ABG0222
butterfly030807@gmail.com
paypal.me/abg0222
AMAZON PREP WISH LIST
https://www.amazon.com/hz/wishlist/ls/24UQQRC8UCDH0?ref_=wl_share
NEWSLETTER IS FREE
  MY MECHANIC https://www.consumercarcare.net/ USE CODE ABG
MY LAWN AND TREE GUY GRATSCH LAWN MAINTENANCE AND TREE WORK
(231)881-6908 ASK FOR JOHN
organic medicinal seed store discount code Garden22
https://willowridgegardens.etsy.com/ Custom made jewelry
https://www.etsy.com/shop/silverdawnjewelry/?etsrc=sdt&page=2#items
Prepper Candles USE CODE ABG FOR 15% OFF http://kmdkandles.com/
Safcandles.com Earthly Wellness Products
https://www.earthley.com/ref/deborah.stinson/
Print It P.O. Box 1806 1406 Waco Road, Belton, Texas 76513
254-933-3311 http://h/pages/Print-It/142656342565968",True
e7iNtIaFk6s,15 min cities and the 🔑 to unlock them.,"My Odysee Channel - https://odysee.com/@Zachaaryala:b


All praises to Yahawah Bahashem Yahawashi!

THE TWELVE TRIBES 

1. YAHAWADAH = יהודה = JUDAH = NEGROES/AFRICAN AMERICANS 

2. BANYAMAN = בנימן = BENJAMIN = WEST INDIES/ JAMAICA TO BELIZE 

3. LAWAYA = לוי = LEVI = HAITIANS 

4. SHAMAIWAN = שמעון = SIMEON = DOMINICAN REPUBLIC 

5. ZABAWALAN = זבולן = ZEBULON = GUATEMALA TO PANAMA 

6. AHPARYAM = אפרים = EPHRAIM = PUERTO RICANS 

7. MANASHAH = מנשה = MANASSEH = CUBANS 

8. GAD = גד = GAD = NORTH AMERICAN INDIANS 

9. RAAHWABAN = ראובן = REUBEN = SEMINOLE INDIANS 

10. NAPATHALAYA = נפתלי = NAPTHALI = ARGENTINA AND CHILE 

11. AHSHAR = אשר = ASHER = COLOMBIA TO URUGUAY 

12. YASHASHAKAR = יששכר = ISSACHAR = MEXICANS


■TABLE OF NATIONS■ 

1.ISRAEL= YASHARAHLA= 12 TRIBES 

2.WHITE MAN= AHDAWAM= EDOM 

3.INDIA= IYALAM= ELAM 

4.ASSYRIA= AHSHAWAR= ASSHUR 

5.SYRIA= AHRAM= ARAM 

6.ARABS= YASHAMIAHLA= ISHMAEL 

7.CHINESE= MAWAAHBA= MOAB 

8.JAPANESE= IMAWAN=- AMMON 

9.ETHOPIANS= KAWASH= CUSH 

10.EGYPTIANS= MATAZARYAM= MIZRAIM 

11.NORTH AFRICA= PAWAT= PHUT 

12.SOUTH AFRICANS= KANAIN= CANAAN 

13.TURKEY= GAMAR= GOMER 

14.RUSSIAN= MAGAWAG=MAGOG 

15.GREEK= YAWAN= JAVAN 

16.GERMAN= ASHKANAZ= ASHKENAZ 

17.SPANISH= THARASHYASH= TARSHISH 

18.CYPRUS= KATHAYAM= KITTIM",True
jPxcIoL03PU,"do you live in a 15min city, check here",,False
NkvJQWqTiLQ,Dallas|Dallas City in 1 minute|1 minute cities,"Dallas|Dallas City in 1 minute|1 minute cities
------------------------------------------------------------------------
👉Thank you for watching the video.
👉Subscribe to the channel to follow the latest videos.
------------------------------------------------------------------------
Dallas, a dynamic metropolis in the heart of Texas, is a city that embodies the spirit of the American Southwest with a perfect blend of modernity, culture, and Southern hospitality.

The city's skyline is marked by iconic structures like the Reunion Tower, offering panoramic views of the city, and the Bank of America Plaza, a shimmering beacon in the downtown area.

Dallas is synonymous with history and culture, boasting sites like Dealey Plaza, where the Sixth Floor Museum commemorates the life of President John F. Kennedy. The Arts District, a cultural haven, is home to the Dallas Museum of Art, the Nasher Sculpture Center, and the Crow Museum of Asian Art.

The city's vibrant neighborhoods, such as Deep Ellum and Bishop Arts District, pulse with creativity, live music, and a diverse culinary scene. From authentic Tex-Mex to barbecue joints, Dallas satisfies every palate.

For sports enthusiasts, Dallas is a haven with teams like the Dallas Cowboys in football and the Dallas Mavericks in basketball, creating a passionate sports culture.

Dallas is a hub for business and innovation, with a thriving economy and a bustling corporate landscape. The city's dedication to technological advancement is evident in the booming industries and modern infrastructure.

With its warm Texan charm, cultural richness, and a spirit of constant reinvention, Dallas invites all who visit to experience the best of the Lone Star State in a city that embraces its past while forging ahead into a dynamic future.



#dallas#dallastexas#cityofdallas#dallascity#dallastour#dallas4k#dallastx#movingtodallas#dallastexastour#dallasdrone#visitdallas",False
pboB9CFfLoA,Future Cities  - Webinar (English) - British Council Algeria,,False
8-cW56i-8Uw,Agenda 2030 Wildfires and Smart Cities,e can also add weather manipulation to the list of how to steal property and push people into 15 Minute Cities. And all orchestrated wildfires will be blamed on climate change.,True
orpZAEIzIWc,16 minute glutes and abs workout | bodyweight exercise 🍑,"Try this 16 minute dumbbell hiit workout that will help you strengthen your core, tone your abs and shape your glutes. Work up a big sweat, burn tons of calories, torch fat and build muscle!
Remember to like the video and drop us a comment to let us know how you got on.
-
✚ Weight Loss Meal Plans
https://diet.mrandmrsmuscle.com

✚ Download our Home Fitness App
💻 Web Version: https://mrandmrsmuscle.com
(use code: FITBODY for 30-days completely free *via website sign-ups only)

📲iOS & Apple TV: https://bit.ly/muscleapp

📲 Android: https://bit.ly/muscleandroidapp

🌟 GET BETTER & FASTER RESULTS!!

Use our Monthly FITBODY Workout Calendar or choose from over 20 professional workout programs on the MrandMrsMuscle App

---
#hiit #hiitworkout #workout #training #home #cardio #exercise #intense #minute",False
2zYKuiQZJXU,UN - 15 minute cities were planned for from a 1970’s UN action plan. Can you see it yet?,"The original creator of this video is recognized for their content and retains all of their copyrights. I could not find original creator’s name to publish it. Thank you to the creator for sharing Truth i am only resharing to spread the truth. I do not monetize from my amateur channel and have no intention to do so so. 
I declare that the entire content IS FOR EDUCATIONAL, ENTERTAINMENT, or FICTIONAL purposes Only. I do not guarantee the veracity of the content. Furthermore, I do not in any way waive any of my rights as a FREE CITIZEN of the world to any individual, group, agency, government or other entity. I have produced NO content unless noted. All content published on this site has been collected other websites, and all copyrights remain with the original creator. I do not monetize from any content on this platform, as I AM NOT FOR SALE . Additionally: My Disclaimer: WARNING: All individuals and/or institutions, including local, state, federal, and international law enforcement agencies, using this or any adult friend finder site or its associated sites for projects and/or surveys. -You do not have my permission to use my profile information, photos, videos, blogs or stories in any form or on any current and future forum. If you have done so, or do so, it will be considered a violation of my privacy.

#worldorder #agenda2030 #MAGA #savetheworld #Patriots #Truth #Globalization #resistance #trump #freespeech #Freedom #republicday #flag #constitution #onenation #liberty #wethepeople #immigration #border #savehumanity savehumanity #savetheworld #censorship #justice",True
uIFkEQ8jnFE,Local Council REJECTS 15 Minute Cities 👏,"Become a channel member to support independent media AND get the following perks:

- Weekly Members' Q&A

- Video calls directly with Mahyar every sunday

- Access to bonus videos that might be too controversial for public posting

- Free access to events and gatherings with Mahyar

JOIN AS A MEMBER: https://www.youtube.com/channel/UCjJec0wv1EUomjrBNt1xCTA/join

Support the channel via PayPal: http://paypal.me/mahyartousi88

Get your own patriotic merchendise: https://mahyartousi.creator-spring.com/

Email: tousitv@outlook.com

Twitter: @MahyarTousi

GETTR: @MahyarTousi

Instagram: @Mahyar_Tousi",True
tpkCgD0X1SA,The Reality of 15 Minute Cities #podcast #podcastclips #15minutecity #uk #london,,True
I3N-fIgxNJA,03 15 minutes proximity and citizens participation,"Authors: Rita Cachado, Caterina Di Giovanni / Instituto Universitário de Lisboa, Portugal 

More information: https://clicche.org/lw0/",False
2R2ZZR7ot3M,15-minute cities are just another globalist power grab: Melinda Richards | Fred Pawle,"‘Once again, we’re going down the climate and the COVID-19 path of having to try and explain to people that this is just about power.’

Author Melinda Richards joins Fred Pawle.

Watch ‘Fred Pawle’ 9pm Monday to Thursday on ADH TV:  
https://watch.adh.tv/videos/melinda-richards-thursday-16-march-2023

____________________

📖 Read more from ADH TV here: https://adh.tv/
 
💬 Join in the conversation in the comments.
 
👍 Like this video if you enjoyed it and want to see more, it really helps us out
 
🔔 Subscribe to our channel and click the bell to watch our videos first
 
⏲️ Missed this episode live? Subscribe to ADH TV to be up to date with all our events: 
https://watch.adh.tv/checkout/subscribe/signup
 
🎤 Have your say and contact Alan Jones on alanjones@adh.tv
 
____________________
 
Australia's Leading Voice. News and analysis from experienced broadcasters with insightful interviews. Join the debate on the future direction of the country.
 
Check out ADH TV at - https://adh.tv
Subscribe to the ADH TV mailing list- https://adh.tv/subscribe/
Join ADH TV as a member for free at - https://watch.adh.tv/checkout/subscribe/signup
 
 
Follow ADH TV on Socials
Twitter: https://twitter.com/adhtvaus Facebook: http://facebook.com/adhtvaus Instagram: http://instagram.com/adh_tv Spotify: https://open.spotify.com/show/44ISFXCYFB6zbvOTAjokyx",True
OKfdChi1zwI,The Anarcho Tyranny of 20mph zones and Fifteen minute cities,"#politics #philosophy 

What really drives the emergence of 20mph zones and fifteen minute cities and why geofencing in vehicles particularly cars is a bad thing that heralds for us all the death of democracy.

@thestandupphilosophers - our main channel.",True
I2ZTQvzQJ8M,Expo City Dubai: UAE's first 15-minute city & a smart city for the future,"Dubai South will be an area larger than Hong Kong. Expo City Dubai will re-purpose 80% of the Expo to create an integrated mixed-use ’15 minute’ community - the UAE's first. As a smart city, it will be a playground for companies pushing the boundaries of AI technologies.


READ MORE : https://www.euronews.com/2022/09/26/expo-city-dubai-larger-than-hong-kong-the-uaes-first-15-minute-city

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to our thematic channels:
NoComment: https://www.youtube.com/c/nocommenttv?sub_confirmation=1
Euronews Green: http://bit.ly/2sMsaDB
Euronews Next: https://www.youtube.com/c/EuronewsNext?sub_confirmation=1
Euronews Travel: https://www.youtube.com/c/EuronewsTravel?sub_confirmation=1

Euronews is available on YouTube in 12 languages: https://www.youtube.com/user/euronewsnetwork/channels

#Focus",False
Fr8ichw4hBU,15 Minute Cities / Oxford U.K. / Fortress or Confinement,Perhaps these places will be fortresses rather than confinement zones?,True
gxtH-YUyxCk,BBC ATTACKS '15 Minute City' Protesters 😡,"Become a channel member to support independent media: https://www.youtube.com/channel/UCjJec0wv1EUomjrBNt1xCTA/join

Support the channel via PayPal: http://paypal.me/mahyartousi88

Get your own patriotic merchandise: https://mahyartousi.creator-spring.com/

Email: tousitv@outlook.com

Twitter: @MahyarTousi

GETTR: @MahyarTousi",True
PSSDgY7tZCQ,How to beat every single Balatro Challenge: #2 15 Minute City / Amaz,"👍 Like 💜 Subscribe 🔔 Turn on the Bell
💎 Twitter • https://twitter.com/Amaz
👾 Twitch • https://www.twitch.tv/Amaz",False
aZF5uTL5HCo,15 min city #Oxford,"Donate links here: https://ko-fi.com/basedwelshman - https://www.paypal.com/paypalme/basedwelshman 👍
Subscribe here: https://www.youtube.com/channel/UCDR8zwHCG3cbVC-uEFNiOLg?sub_confirmation=1",False
ZMfN-X0_7X4,15-Minute  City in China,,False
BltqfdJtPnU,Kameror installeras i städer för klimatlockdowns. Här är vad de inte vill att du ska veta,"97 städer är med i detta experiment och en stad speciellt har röstat ner hela förslaget. Hela 93% människor rasar mot planerna och politikerna kör fulspel och censurerar protesterna. Det handlar om Agenda 2030 och klimatsmarta städer. Stockholm stad är med i listan och borgmästaren är till och med medlem i styrgruppen. 
Klimatfängelserna har kommit till Sverige.

Länkar:
https://www.c40.org/cities/ 
https://www.c40.org/news/c40-nrep-collaborate-15-minute-city/
https://www.youtube.com/watch?v=ZUMRGusBZpI&embeds_euri=https%3A%2F%2Fwww.c40.org%2F&embeds_origin=https%3A%2F%2Fwww.c40.org&feature=emb_logo
https://www.visionnews.online/post/oxfordshire-county-council-pass-climate-lockdown-trial-to-begin-in-2024
https://twitter.com/jordanbpeterson/status/1609255646993457153?s=20&t=4W-gJ7gFsBkcHvBoYsv59Q
https://www.thefirstnews.com/article/pleszew-becomes-polands-first-15-minute-city-34717
https://www.theguardian.com/world/2020/feb/07/paris-mayor-unveils-15-minute-city-plan-in-re-election-campaign
https://www.theguardian.com/world/2020/feb/07/paris-mayor-unveils-15-minute-city-plan-in-re-election-campaign
https://nrep.se/
https://rairfoundation.com/british-protest-15-minute-cities-where-they-will-become-prisoners-of-the-state/
https://republicbroadcasting.org/news/climate-lockdowns-the-15-minute-city-is-a-quarantine-program-for-neighborhoods/
https://nexusnewsfeed.com/article/geopolitics/british-protest-15-minute-cities-where-they-will-become-prisoners-of-the-state/
https://nexusnewsfeed.com/article/geopolitics/british-protest-15-minute-cities-where-they-will-become-prisoners-of-the-state/
https://sociable.co/government-and-policy/timeline-great-reset-agenda-event-201-pandemic-2020/
https://www.weforum.org/agenda/2022/02/accelerate-and-strengthen-the-global-economy-borge-brende/
https://www.youtube.com/watch?v=69O-4ywNsss&t=2s
https://www.bizstories.se/naringslivet/momsens-historia/
____________________________________________________________
Handbok för Uppvaknande kommer snart att gå att beställa.
Skriv upp dig på maillistan för att vara först med att få nyheten: 
http://eepurl.com/ih_tXH

För att stödja mitt arbete kan du göra det via Patreon
https://www.patreon.com/aidareva

Följ mig på andra plattformar:
Min ocensurerade, ofiltrerade maillista: http://eepurl.com/ih_tXH
Instagram: https://www.instagram.com/aidareva/
Min merch: http://aidareva.myspreadshop.se
Telegram: https://t.me/aidarevatribe
https://www.minds.com/aidareva/
TikTok: https://www.tiktok.com/@aidareva_themindninja

Prenumerera & Gilla för att sprida uppvaknandet!",False
gVdq28l0jEs,15 minute city’s!! Coming to a town near you!!,,True
vpn9cEhgQlU,The pro’s of living in a 15 minute city,"#smartcity #trending #foryou #podcast - There once was a time when people knew who their neighbors were and you felt safe letting your kids roam. The police man lived a couple houses down or in your building and senseless crime wasn’t so high. The mailman lived across the street, and your packages didn’t get lost or stolen…It could all be here again in a 15 minute city.",False
h7xcGYSgt3w,15 Minute City - Chords,"Don't know the song?? https://www.youtube.com/watch?v=2JjY8My2yOk

Angry North Guitar Lessons, inc.",False
Yxx1Nfh1Il8,The Hidden Dangers of 15 Minute Cities,"Welcome to a deep dive into urban planning! In this eye-opening video, we unravel ""The Hidden Dangers of 15 Minute Cities."" 🏙️🚶‍♂️ Are these compact, hyper-local urban environments really the utopia they seem to be? Join me as we explore the potential pitfalls lurking beneath the surface of this trendy urban planning concept.",False
